Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020]
Mexico,MEX,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,985354086241.984,812550207500.194
Mexico,MEX,Trade (% of GDP),NE.TRD.GNFS.ZS,77.8973469505672,76.9003537108958
"Micronesia, Fed. Sts.",FSM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,425775543.367925,424406403.858593
"Micronesia, Fed. Sts.",FSM,Trade (% of GDP),NE.TRD.GNFS.ZS,104.95145631068,89.0441176470588
Moldova,MDA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11005915938.8223,10770252209.6962
Moldova,MDA,Trade (% of GDP),NE.TRD.GNFS.ZS,85.9023777732758,77.0654565616994
Monaco,MCO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Monaco,MCO,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Mongolia,MNG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10150297075.6777,9940281199.30596
Mongolia,MNG,Trade (% of GDP),NE.TRD.GNFS.ZS,124.396514622815,112.838647629188
Montenegro,MNE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,5057218354.25865,4328214538.5672
Montenegro,MNE,Trade (% of GDP),NE.TRD.GNFS.ZS,108.8445840579,87.0060222391651
Morocco,MAR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,105361848651.476,100087975184.306
Morocco,MAR,Trade (% of GDP),NE.TRD.GNFS.ZS,75.9981158798422,68.8472682244913
Mozambique,MOZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11668015390.388,10316032535.573
